,공원명,공원구분,소재지지번주소,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),관리기관명
17146,구미공원,어린이공원,경기도 성남시 분당구 구미동 206,야외운동기구,어린이놀이터,벤치+파고라+음수전,,,경기도 성남시 분당구 녹지공원과
17147,골안공원,어린이공원,경기도 성남시 분당구 구미동 281,야외운동기구,어린이놀이터,벤치+파고라+음수전,,,경기도 성남시 분당구 녹지공원과
17148,불곡공원,어린이공원,경기도 성남시 분당구 구미동 294,야외운동기구,어린이놀이터,벤치+파고라+음수전,,,경기도 성남시 분당구 녹지공원과
17149,파랑새공원,어린이공원,경기도 성남시 분당구 금곡동 183,야외운동기구,어린이놀이터,벤치+파고라+음수전,,,경기도 성남시 분당구 녹지공원과
17150,야생화공원,어린이공원,경기도 성남시 분당구 금곡동 175,야외운동기구,어린이놀이터,벤치+파고라+음수전,,,경기도 성남시 분당구 녹지공원과
17151,무지개공원,어린이공원,경기도 성남시 분당구 구미동 230,,어린이놀이터,벤치+파고라+음수전,,,경기도 성남시 분당구 녹지공원과
17152,북산공원,근린공원,전라남도 강진군 마량면 마량리 산134-2,허리돌리기 등,,정자 2동,,,전라남도 강진군청
17153,봉황공원,근린공원,전라남도 고흥군 고흥읍 남계리 산 57,운동공원 1개소+체력단련시설 17개소,,전망대 1개소+데크전망대 1개소,추모비 4개소,,전라남도 고흥군
17154,뒷구미공원,어린이공원,경기도 성남시 분당구 구미동 32,야외운동기구,어린이놀이터,벤치+파고라+음수전,,,경기도 성남시 분당구 녹지공원과
17155,벌말공원,어린이공원,경기도 성남시 분당구 구미동 51,야외운동기구,어린이놀이터,벤치+파고라+음수전,,,경기도 성남시 분당구 녹지공원과
17156,까치마을공원,어린이공원,경기도 성남시 분당구 구미동 73,야외운동기구,어린이놀이터,벤치+파고라+음수전,,,경기도 성남시 분당구 녹지공원과
