업종명,사업장명,골프장면적,골프장홀수,정제도로명주소,정제지번주소,정제우편번호,정제WGS84경도,정제WGS84위도
비회원제,남여주,1160743,27,경기도 여주시 가여로 532,경기도 여주시 하거동 산40번지,12658,127.6335148851,37.2284148980
비회원제,아리지,1229038,27,경기도 여주시 가남읍 아리지그린길 68,경기도 여주시 가남읍 양귀리 산17-1번지,12656,127.6022215098,37.2116077205
비회원제,세라지오,993332,18,경기도 여주시 여양로 530,경기도 여주시 오금동 422-3번지,12635,127.6560877328,37.3290465918
비회원제,360°,818914,18,경기도 여주시 강천면 부평로 609,경기도 여주시 강천면 부평리 690번지,12617,127.7393866828,37.3025867161
비회원제,페럼,1164205,18,경기도 여주시 점동면 점동로 181,경기도 여주시 점동면 사곡리 450번지,12665,127.6907116469,37.2055129427
비회원제,양평TPC,1901420,27,경기도 양평군 지평면 대평평장길 113-8,경기도 양평군 지평면 대평리 331번지,12543,127.6398096627,37.4136710003
회원제,더스타휴,1107410,18,경기도 양평군 양동면 양동로 756,경기도 양평군 양동면 고송리 산143번지,12533,127.7030115092,37.4841568740
회원제,뉴코리아,880053,18,경기도 고양시 덕양구 신원2로 57,경기도 고양시 덕양구 신원동 227-12번지,10566,126.8767047762,37.6649114054
비회원제,한양파인,351587,9,경기도 고양시 덕양구 고양대로1643번길 164,경기도 고양시 덕양구 원당동 198-114번지,10293,126.8544709844,37.6569863225
비회원제,1?2?3,334432,6,경기도 고양시 덕양구 통일로 43-168,경기도 고양시 덕양구 동산동 53-124번지,10596,126.9064277077,37.6414678870
비회원제,일산스프링힐스,230094,9,경기도 고양시 일산동구 산황로 108,경기도 고양시 일산동구 산황동 424-3번지,10453,126.8126782079,37.6562274378
회원제,양주,1102660,18,경기도 남양주시 화도읍 북한강로 1525-52,경기도 남양주시 화도읍 금남리 300번지,12193,127.3480210419,37.6362022678
회원제,한림광릉,961896,18,경기도 남양주시 진접읍 팔야로 280,경기도 남양주시 진접읍 팔야리 산1번지,12017,127.2445848918,37.7589115878
